title;date;url
"SAML Chrome Panel";"November 18, 2017";"https://chrome.google.com/webstore/detail/saml-chrome-panel/paijfdbeoenhembfhkhllainmocckace"
"dataslayer";"February 28, 2019";"https://chrome.google.com/webstore/detail/dataslayer/ikbablmmjldhamhcldjjigniffkkjgpo"
"Gauge";"January 10, 2018";"https://chrome.google.com/webstore/detail/gauge/ojijfifnfjaolmmmdgpaikekjddijkgl"
"Yet Another REST Client";"December 31, 2017";"https://chrome.google.com/webstore/detail/yet-another-rest-client/ehafadccdcdedbhcbddihehiodgcddpl"
"Tinybeest Image Optimization";"March 8, 2019";"https://chrome.google.com/webstore/detail/tinybeest-image-optimizat/iddlfhoicnaonfnepnjogldeaifkocae"
"JSON Viewer";"January 29, 2019";"https://chrome.google.com/webstore/detail/json-viewer/aimiinbnnkboelefkjlenlgimcabobli"
"Reticle";"July 2, 2014";"https://chrome.google.com/webstore/detail/reticle/holbpikmjepcdgpfclodjljclfnpojak"
"AJAX Debugger";"November 20, 2013";"https://chrome.google.com/webstore/detail/ajax-debugger/lgfefckpdealogpcfjdhinecfbcgedam"
"Page Ruler Redux";"February 28, 2019";"https://chrome.google.com/webstore/detail/page-ruler-redux/giejhjebcalaheckengmchjekofhhmal"
"Font Finder";"July 26, 2018";"https://chrome.google.com/webstore/detail/font-finder/bhiichidigehdgphoambhjbekalahgha"
"SEO PageRank (Formerly: PageRank)";"September 27, 2017";"https://chrome.google.com/webstore/detail/seo-pagerank-formerly-pag/lndiecnlfaibiffoeijpjnblnmdlcpog"
"Sourcegraph";"March 7, 2019";"https://chrome.google.com/webstore/detail/sourcegraph/dgjhfomjieaadpoljlnidmbgkdffpack"
"Grabilla Screenshot";"November 13, 2014";"https://chrome.google.com/webstore/detail/grabilla-screenshot/mlkejhoeobiibeeeahncjhhonbholbje"
"jQuery Debugger";"May 12, 2013";"https://chrome.google.com/webstore/detail/jquery-debugger/dbhhnnnpaeobfddmlalhnehgclcmjimi"
"HTML5 Storage Manager All in One";"December 23, 2014";"https://chrome.google.com/webstore/detail/html5-storage-manager-all/giompennnhheakjcnobejbnjgbbkmdnd"
"DevTools Autosave";"September 25, 2015";"https://chrome.google.com/webstore/detail/devtools-autosave/mlejngncgiocofkcbnnpaieapabmanfl"
"HTTP Header Spy";"September 26, 2018";"https://chrome.google.com/webstore/detail/http-header-spy/agnoocojkneiphkobpcfoaenhpjnmifb"
"Library Sniffer";"September 10, 2018";"https://chrome.google.com/webstore/detail/library-sniffer/fhhdlnnepfjhlhilgmeepgkhjmhhhjkh"
"Script Blocker for Chrome™";"August 18, 2015";"https://chrome.google.com/webstore/detail/script-blocker-for-chrome/aakchmnmjneadkakfihibdbepehaflop"
"Resource Override";"March 8, 2019";"https://chrome.google.com/webstore/detail/resource-override/pkoacgokdfckfpndoffpifphamojphii"
"ObservePoint TagDebugger";"December 22, 2018";"https://chrome.google.com/webstore/detail/observepoint-tagdebugger/daejfbkjipkgidckemjjafiomfeabemo"
"CSS Dig";"February 29, 2016";"https://chrome.google.com/webstore/detail/css-dig/lpnhmlhomomelfkcjnkcacofhmggjmco"
